date,gld,teny_yield_pct
2024-12-31,242.1300048828125,4.572999954223633
2025-01-02,245.4199981689453,4.574999809265137
2025-01-03,243.49000549316406,4.5960001945495605
2025-01-06,243.19000244140625,4.618000030517578
2025-01-07,244.55999755859375,4.683000087738037
2025-01-08,245.86000061035156,4.692999839782715
2025-01-09,245.86000061035156,4.692999839782715
2025-01-10,248.2100067138672,4.776000022888184
2025-01-13,245.74000549316406,4.802999973297119
2025-01-14,247.02999877929688,4.788000106811523
2025-01-15,248.8800048828125,4.6529998779296875
2025-01-16,250.60000610351562,4.605999946594238
2025-01-17,249.27000427246094,4.609000205993652
2025-01-21,253.1300048828125,4.573999881744385
2025-01-22,254.42999267578125,4.598999977111816
2025-01-23,254.07000732421875,4.638000011444092
2025-01-24,255.64999389648438,4.625999927520752
2025-01-27,252.99000549316406,4.5279998779296875
2025-01-28,255.17999267578125,4.551000118255615
2025-01-29,254.1999969482422,4.554999828338623
2025-01-30,258.04998779296875,4.51200008392334
2025-01-31,258.55999755859375,4.568999767303467
2025-02-03,259.94000244140625,4.543000221252441
2025-02-04,262.5,4.513000011444092
2025-02-05,264.1300048828125,4.421999931335449
2025-02-06,263.42999267578125,4.440000057220459
2025-02-07,263.8999938964844,4.486999988555908
2025-02-10,268.3699951171875,4.493000030517578
2025-02-11,267.3900146484375,4.5370001792907715
2025-02-12,267.6700134277344,4.63700008392334
2025-02-13,270.30999755859375,4.525000095367432
2025-02-14,266.2900085449219,4.4720001220703125
2025-02-18,270.70001220703125,4.544000148773193
2025-02-19,270.8500061035156,4.534999847412109
2025-02-20,270.989990234375,4.5
2025-02-21,270.739990234375,4.420000076293945
2025-02-24,272.2099914550781,4.39300012588501
2025-02-25,268.6199951171875,4.297999858856201
2025-02-26,269.0299987792969,4.249000072479248
2025-02-27,264.92999267578125,4.284999847412109
2025-02-28,263.2699890136719,4.230999946594238
2025-03-03,266.739990234375,4.179999828338623
2025-03-04,269.05999755859375,4.210000038146973
2025-03-05,269.6199951171875,4.264999866485596
2025-03-06,268.25,4.285999774932861
2025-03-07,268.3900146484375,4.316999912261963
2025-03-10,266.0400085449219,4.2129998207092285
2025-03-11,269.1600036621094,4.288000106811523
2025-03-12,270.3299865722656,4.317999839782715
2025-03-13,275.1300048828125,4.27400016784668
2025-03-14,275.239990234375,4.308000087738037
2025-03-17,276.7300109863281,4.306000232696533
2025-03-18,279.9599914550781,4.281000137329102
2025-03-19,281.1099853515625,4.25600004196167
2025-03-20,280.75,4.232999801635742
2025-03-21,278.489990234375,4.251999855041504
2025-03-24,277.25,4.330999851226807
2025-03-25,278.4700012207031,4.307000160217285
2025-03-26,278.239990234375,4.3379998207092285
2025-03-27,281.9700012207031,4.36899995803833
2025-03-28,284.05999755859375,4.255000114440918
2025-03-31,288.1400146484375,4.245999813079834
2025-04-01,287.57000732421875,4.156000137329102
2025-04-02,288.1600036621094,4.196000099182129
2025-04-03,286.4200134277344,4.054999828338623
2025-04-04,279.7200012207031,3.984999895095825
2025-04-07,273.7099914550781,4.15500020980835
2025-04-08,275.20001220703125,4.26200008392334
2025-04-09,285.3800048828125,4.400000095367432
2025-04-10,292.3500061035156,4.394000053405762
2025-04-11,297.92999267578125,4.493000030517578
2025-04-14,296.2300109863281,4.363999843597412
2025-04-15,297.7799987792969,4.322999954223633
2025-04-16,307.4700012207031,4.2789998054504395
2025-04-17,306.1199951171875,4.333000183105469
2025-04-21,315.5899963378906,4.40500020980835
2025-04-22,311.1099853515625,4.388999938964844
2025-04-23,303.6499938964844,4.38700008392334
2025-04-24,308.07000732421875,4.304999828338623
2025-04-25,304.7300109863281,4.265999794006348
2025-04-28,309.07000732421875,4.216000080108643
2025-04-29,306.05999755859375,4.172999858856201
2025-04-30,303.7699890136719,4.177000045776367
2025-05-01,297.4599914550781,4.230999946594238
2025-05-02,297.9800109863281,4.322000026702881
2025-05-05,306.8800048828125,4.3429999351501465
2025-05-06,315.4800109863281,4.308000087738037
2025-05-07,310.75,4.275000095367432
2025-05-08,304.6300048828125,4.373000144958496
2025-05-09,306.8399963378906,4.375
2025-05-12,298.19000244140625,4.456999778747559
2025-05-13,299.4599914550781,4.499000072479248
2025-05-14,293.1600036621094,4.5279998779296875
2025-05-15,297.8399963378906,4.454999923706055
2025-05-16,294.239990234375,4.440999984741211
2025-05-19,298.0299987792969,4.474999904632568
2025-05-20,303.5799865722656,4.480999946594238
2025-05-21,305.82000732421875,4.5960001945495605
2025-05-22,303.1099853515625,4.552999973297119
2025-05-23,309.75,4.508999824523926
2025-05-26,309.75,4.508999824523926
2025-05-27,304.5,4.434000015258789
2025-05-28,303.80999755859375,4.4770002365112305
2025-05-29,305.6099853515625,4.423999786376953
2025-05-30,303.6000061035156,4.415999889373779
2025-06-02,311.6700134277344,4.461999893188477
2025-06-03,308.9100036621094,4.460000038146973
2025-06-04,310.8999938964844,4.364999771118164
2025-06-05,309.3299865722656,4.394000053405762
2025-06-06,305.17999267578125,4.510000228881836
2025-06-09,306.6199951171875,4.48199987411499
2025-06-10,306.7099914550781,4.473999977111816
2025-06-11,308.3699951171875,4.4120001792907715
2025-06-12,312.20001220703125,4.35699987411499
2025-06-13,316.2900085449219,4.423999786376953
2025-06-16,311.7799987792969,4.452000141143799
2025-06-17,311.94000244140625,4.39300012588501
2025-06-18,310.260009765625,4.396999835968018
2025-06-20,310.1300048828125,4.375
2025-06-23,311.0799865722656,4.320000171661377
2025-06-24,306.19000244140625,4.293000221252441
2025-06-25,307.1199951171875,4.293000221252441
2025-06-26,306.7799987792969,4.252999782562256
2025-06-27,301.2200012207031,4.2829999923706055
2025-06-30,304.8299865722656,4.230000019073486
2025-07-01,307.54998779296875,4.250999927520752
2025-07-02,309.25,4.293000221252441
2025-07-03,307.1400146484375,4.3480000495910645
2025-07-07,307.3699951171875,4.394999980926514
2025-07-08,304.1600036621094,4.414999961853027
2025-07-09,305.5199890136719,4.3420000076293945
2025-07-10,306.20001220703125,4.3460001945495605
2025-07-11,309.1400146484375,4.422999858856201
2025-07-14,308.010009765625,4.427000045776367
2025-07-15,306.7300109863281,4.488999843597412
2025-07-16,308.260009765625,4.454999923706055
2025-07-17,307.5899963378906,4.4629998207092285
2025-07-18,308.3900146484375,4.432000160217285
2025-07-21,313.1300048828125,4.372000217437744
2025-07-22,316.1000061035156,4.335999965667725
2025-07-23,312.17999267578125,4.388000011444092
2025-07-24,310.2699890136719,4.4079999923706055
2025-07-25,307.3999938964844,4.386000156402588
2025-07-28,305.4100036621094,4.420000076293945
2025-07-29,306.25,4.329999923706055
2025-07-30,300.9599914550781,4.375999927520752
2025-07-31,302.9599914550781,4.360000133514404
2025-08-01,309.1099853515625,4.21999979019165
2025-08-04,310.9100036621094,4.199999809265137
2025-08-05,311.1600036621094,4.196000099182129
2025-08-06,310.5,4.21999979019165
2025-08-07,313.1199951171875,4.24399995803833
2025-08-08,313.04998779296875,4.284999847412109
2025-08-11,308.54998779296875,4.2729997634887695
2025-08-12,308.2699890136719,4.293000221252441
2025-08-13,309.2099914550781,4.23799991607666
2025-08-14,307.25,4.293000221252441
2025-08-15,307.42999267578125,4.328000068664551
2025-08-18,306.95001220703125,4.341000080108643
2025-08-19,305.2699890136719,4.302000045776367
2025-08-20,308.3599853515625,4.296000003814697
2025-08-21,307.2900085449219,4.329999923706055
2025-08-22,310.5799865722656,4.260000228881836
2025-08-25,309.8299865722656,4.275000095367432
2025-08-26,312.0799865722656,4.257999897003174
2025-08-27,312.7099914550781,4.23799991607666
2025-08-28,315.0299987792969,4.206999778747559
2025-08-29,318.07000732421875,4.2270002365112305
2025-09-02,325.5899963378906,4.2769999504089355
2025-09-03,328.1400146484375,4.210999965667725
2025-09-04,326.69000244140625,4.176000118255615
2025-09-05,331.04998779296875,4.085999965667725
2025-09-08,334.82000732421875,4.046000003814697
2025-09-09,334.05999755859375,4.073999881744385
2025-09-10,335.260009765625,4.0320000648498535
2025-09-11,334.760009765625,4.011000156402588
2025-09-12,335.4200134277344,4.060999870300293
2025-09-15,338.9100036621094,4.033999919891357
2025-09-16,339.5899963378906,4.026000022888184
2025-09-17,336.9700012207031,4.076000213623047
2025-09-18,335.6199951171875,4.104000091552734
2025-09-19,339.17999267578125,4.138999938964844
2025-09-22,345.04998779296875,4.14300012588501
2025-09-23,346.4599914550781,4.119999885559082
2025-09-24,343.32000732421875,4.146999835968018
2025-09-25,344.75,4.171999931335449
2025-09-26,346.739990234375,4.186999797821045
2025-09-29,352.4599914550781,4.140999794006348
2025-09-30,355.4700012207031,4.1479997634887695
2025-10-01,356.0299987792969,4.105999946594238
2025-10-02,354.7900085449219,4.0879998207092285
2025-10-03,357.6400146484375,4.11899995803833
2025-10-06,364.3800048828125,4.1620001792907715
2025-10-07,366.260009765625,4.126999855041504
